欄位名稱(中),原始欄位名稱,資料表名稱,資料層級,欄位名稱(英),中文值標籤,序號,型態,簡易說明,資料變動說明,本單位新增,資料涵蓋學年度
,學校統計處代碼,學2-5.畢業碩、博士學位論文資料-以「校(含學制班別)」統計,,,,4,object,,,0.0,108 ;109 ;110
,學校名稱,學2-5.畢業碩、博士學位論文資料-以「校(含學制班別)」統計,,,,5,object,,,0.0,108 ;109 ;110
,學制班別,學2-5.畢業碩、博士學位論文資料-以「校(含學制班別)」統計,,,,6,object,,,0.0,108 ;109 ;110
,畢業總人數,學2-5.畢業碩、博士學位論文資料-以「校(含學制班別)」統計,,,,7,int64,,,0.0,108 ;109 ;110
,畢業生修讀學術倫理教育課程人數,學2-5.畢業碩、博士學位論文資料-以「校(含學制班別)」統計,,,,8,int64,,,0.0,108 ;109 ;110
,學位論文不公開件數,學2-5.畢業碩、博士學位論文資料-以「校(含學制班別)」統計,,,,9,int64,,,0.0,108 ;109 ;110
,學位論文考試委員人次-符合各學位考試委員職級之教師或院士,學2-5.畢業碩、博士學位論文資料-以「校(含學制班別)」統計,,,,10,int64,,,0.0,108 ;109 ;110
,學位論文考試委員人次-有博士學位且學術有成就,學2-5.畢業碩、博士學位論文資料-以「校(含學制班別)」統計,,,,11,int64,,,0.0,108 ;109 ;110
,學位論文考試委員人次-屬稀少或特殊性考試委員,學2-5.畢業碩、博士學位論文資料-以「校(含學制班別)」統計,,,,12,int64,,,0.0,108 ;109 ;110
,學年度,學20.學生實習情形-以「系(所)」統計,,,,1,int64,,,0.0,110
,設立別,學20.學生實習情形-以「系(所)」統計,,,,2,object,,,0.0,110
,學校類別,學20.學生實習情形-以「系(所)」統計,,,,3,object,,,0.0,110
,學校統計處代碼,學20.學生實習情形-以「系(所)」統計,,,,4,object,,,0.0,110
,學校名稱,學20.學生實習情形-以「系(所)」統計,,,,5,object,,,0.0,110
,系所代碼,學20.學生實習情形-以「系(所)」統計,,,,6,object,,,0.0,110
,系所名稱,學20.學生實習情形-以「系(所)」統計,,,,7,object,,,0.0,110
,學制班別,學20.學生實習情形-以「系(所)」統計,,,,8,object,,,0.0,110
,寒假實習-人次-男,學20.學生實習情形-以「系(所)」統計,,,,9,int64,,,0.0,110
,寒假實習-人次-女,學20.學生實習情形-以「系(所)」統計,,,,10,int64,,,0.0,110
,寒假實習-總時數,學20.學生實習情形-以「系(所)」統計,,,,11,float64,,,0.0,110
,暑期實習-人次-男,學20.學生實習情形-以「系(所)」統計,,,,12,int64,,,0.0,110
,暑期實習-人次-女,學20.學生實習情形-以「系(所)」統計,,,,13,int64,,,0.0,110
,暑期實習-總時數,學20.學生實習情形-以「系(所)」統計,,,,14,float64,,,0.0,110
,全學期/單一學期-人次-男,學20.學生實習情形-以「系(所)」統計,,,,15,int64,,,0.0,110
,全學期/單一學期-人次-女,學20.學生實習情形-以「系(所)」統計,,,,16,int64,,,0.0,110
,全學期/單一學期-總時數,學20.學生實習情形-以「系(所)」統計,,,,17,float64,,,0.0,110
,學期期間實習-人次-男,學20.學生實習情形-以「系(所)」統計,,,,18,int64,,,0.0,110
,學期期間實習-人次-女,學20.學生實習情形-以「系(所)」統計,,,,19,int64,,,0.0,110
,學期期間實習-總時數,學20.學生實習情形-以「系(所)」統計,,,,20,float64,,,0.0,110
,全學年實習-人數-男,學20.學生實習情形-以「系(所)」統計,,,,21,int64,,,0.0,110
,全學年實習-人數-女,學20.學生實習情形-以「系(所)」統計,,,,22,int64,,,0.0,110
,全學年實習-總時數,學20.學生實習情形-以「系(所)」統計,,,,23,float64,,,0.0,110
,學年度,學21.學生實習機構及權益保障-以「系(所)」統計,,,,1,int64,,,0.0,110
,設立別,學21.學生實習機構及權益保障-以「系(所)」統計,,,,2,object,,,0.0,110
,學校類別,學21.學生實習機構及權益保障-以「系(所)」統計,,,,3,object,,,0.0,110
,學校統計處代碼,學21.學生實習機構及權益保障-以「系(所)」統計,,,,4,object,,,0.0,110
,學校名稱,學21.學生實習機構及權益保障-以「系(所)」統計,,,,5,object,,,0.0,110
,系所代碼,學21.學生實習機構及權益保障-以「系(所)」統計,,,,6,object,,,0.0,110
,系所名稱,學21.學生實習機構及權益保障-以「系(所)」統計,,,,7,object,,,0.0,110
,學制班別,學21.學生實習機構及權益保障-以「系(所)」統計,,,,8,object,,,0.0,110
,實習機構行業別,學21.學生實習機構及權益保障-以「系(所)」統計,,,,9,object,,,0.0,110
,實習機構數,學21.學生實習機構及權益保障-以「系(所)」統計,,,,10,int64,,,0.0,110
,投保情形(人次)-僅勞保,學21.學生實習機構及權益保障-以「系(所)」統計,,,,11,int64,,,0.0,110
,投保情形(人次)-僅校外實習保險,學21.學生實習機構及權益保障-以「系(所)」統計,,,,12,int64,,,0.0,110
,投保情形(人次)-兩者皆有,學21.學生實習機構及權益保障-以「系(所)」統計,,,,13,int64,,,0.0,110
,投保情形(人次)-兩者皆無,學21.學生實習機構及權益保障-以「系(所)」統計,,,,14,int64,,,0.0,110
,實習待遇(人次)-工資,學21.學生實習機構及權益保障-以「系(所)」統計,,,,15,int64,,,0.0,110
,實習待遇(人次)-獎學金,學21.學生實習機構及權益保障-以「系(所)」統計,,,,16,int64,,,0.0,110
,實習待遇(人次)-津貼,學21.學生實習機構及權益保障-以「系(所)」統計,,,,17,int64,,,0.0,110
,實習待遇(人次)-無,學21.學生實習機構及權益保障-以「系(所)」統計,,,,18,int64,,,0.0,110
,學年度,學3-1.境外學位生數及其在學比率-以「系(所)」統計,,,,1,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,設立別,學3-1.境外學位生數及其在學比率-以「系(所)」統計,,,,2,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校類別,學3-1.境外學位生數及其在學比率-以「系(所)」統計,,,,3,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校統計處代碼,學3-1.境外學位生數及其在學比率-以「系(所)」統計,,,,4,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校名稱,學3-1.境外學位生數及其在學比率-以「系(所)」統計,,,,5,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,系所代碼,學3-1.境外學位生數及其在學比率-以「系(所)」統計,,,,6,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,系所名稱,學3-1.境外學位生數及其在學比率-以「系(所)」統計,,,,7,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學制班別,學3-1.境外學位生數及其在學比率-以「系(所)」統計,,,,8,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,境外學位生數小計,學3-1.境外學位生數及其在學比率-以「系(所)」統計,,,,9,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,境外學位生數男,學3-1.境外學位生數及其在學比率-以「系(所)」統計,,,,10,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,境外學位生數女,學3-1.境外學位生數及其在學比率-以「系(所)」統計,,,,11,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,境外學位生數之在學比率(%),學3-1.境外學位生數及其在學比率-以「系(所)」統計,,,,12,float64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學年度,學3-2.外國學生數及其在學比率-以「系(所)」統計,,,,1,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,設立別,學3-2.外國學生數及其在學比率-以「系(所)」統計,,,,2,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校類別,學3-2.外國學生數及其在學比率-以「系(所)」統計,,,,3,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校統計處代碼,學3-2.外國學生數及其在學比率-以「系(所)」統計,,,,4,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校名稱,學3-2.外國學生數及其在學比率-以「系(所)」統計,,,,5,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,系所代碼,學3-2.外國學生數及其在學比率-以「系(所)」統計,,,,6,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,系所名稱,學3-2.外國學生數及其在學比率-以「系(所)」統計,,,,7,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學制班別(日間),學3-2.外國學生數及其在學比率-以「系(所)」統計,,,,8,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,外國學生小計,學3-2.外國學生數及其在學比率-以「系(所)」統計,,,,9,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,外國學生數男,學3-2.外國學生數及其在學比率-以「系(所)」統計,,,,10,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,外國學生女,學3-2.外國學生數及其在學比率-以「系(所)」統計,,,,11,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,外國學生數之在學比率(%),學3-2.外國學生數及其在學比率-以「系(所)」統計,,,,12,float64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學年度,學3-3.僑生、港澳生數及其在學比率-以「系(所)」統計,,,,1,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,設立別,學3-3.僑生、港澳生數及其在學比率-以「系(所)」統計,,,,2,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校類別,學3-3.僑生、港澳生數及其在學比率-以「系(所)」統計,,,,3,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校統計處代碼,學3-3.僑生、港澳生數及其在學比率-以「系(所)」統計,,,,4,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校名稱,學3-3.僑生、港澳生數及其在學比率-以「系(所)」統計,,,,5,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,系所代碼,學3-3.僑生、港澳生數及其在學比率-以「系(所)」統計,,,,6,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,系所名稱,學3-3.僑生、港澳生數及其在學比率-以「系(所)」統計,,,,7,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學制班別(日間),學3-3.僑生、港澳生數及其在學比率-以「系(所)」統計,,,,8,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,僑生小計,學3-3.僑生、港澳生數及其在學比率-以「系(所)」統計,,,,9,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,僑生男,學3-3.僑生、港澳生數及其在學比率-以「系(所)」統計,,,,10,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,僑生女,學3-3.僑生、港澳生數及其在學比率-以「系(所)」統計,,,,11,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,港澳生小計,學3-3.僑生、港澳生數及其在學比率-以「系(所)」統計,,,,12,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,港澳生男,學3-3.僑生、港澳生數及其在學比率-以「系(所)」統計,,,,13,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,港澳生女,學3-3.僑生、港澳生數及其在學比率-以「系(所)」統計,,,,14,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,僑生及港澳生數之在學比率(%),學3-3.僑生、港澳生數及其在學比率-以「系(所)」統計,,,,15,float64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學年度,學3-4.大陸地區來臺學位生數及其在學比率-以「系(所)」統計,,,,1,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,設立別,學3-4.大陸地區來臺學位生數及其在學比率-以「系(所)」統計,,,,2,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校類別,學3-4.大陸地區來臺學位生數及其在學比率-以「系(所)」統計,,,,3,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校統計處代碼,學3-4.大陸地區來臺學位生數及其在學比率-以「系(所)」統計,,,,4,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校名稱,學3-4.大陸地區來臺學位生數及其在學比率-以「系(所)」統計,,,,5,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,系所代碼,學3-4.大陸地區來臺學位生數及其在學比率-以「系(所)」統計,,,,6,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,系所名稱,學3-4.大陸地區來臺學位生數及其在學比率-以「系(所)」統計,,,,7,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學制班別(日間),學3-4.大陸地區來臺學位生數及其在學比率-以「系(所)」統計,,,,8,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,大陸地區來臺學位生小計,學3-4.大陸地區來臺學位生數及其在學比率-以「系(所)」統計,,,,9,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,大陸地區來臺學位生男,學3-4.大陸地區來臺學位生數及其在學比率-以「系(所)」統計,,,,10,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,大陸地區來臺學位生女,學3-4.大陸地區來臺學位生數及其在學比率-以「系(所)」統計,,,,11,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,大陸地區來臺學位生數之在學比率(%),學3-4.大陸地區來臺學位生數及其在學比率-以「系(所)」統計,,,,12,float64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學年度,學3-5.畢業境外生數-以「系(所)」統計,,,,1,int64,,,0.0,106 ;107 ;108 ;109 ;110
,設立別,學3-5.畢業境外生數-以「系(所)」統計,,,,2,object,,,0.0,106 ;107 ;108 ;109 ;110
,學校類別,學3-5.畢業境外生數-以「系(所)」統計,,,,3,object,,,0.0,106 ;107 ;108 ;109 ;110
,學校統計處代碼,學3-5.畢業境外生數-以「系(所)」統計,,,,4,object,,,0.0,106 ;107 ;108 ;109 ;110
,學校名稱,學3-5.畢業境外生數-以「系(所)」統計,,,,5,object,,,0.0,106 ;107 ;108 ;109 ;110
,系所代碼,學3-5.畢業境外生數-以「系(所)」統計,,,,6,object,,,0.0,106 ;107 ;108 ;109 ;110
,系所名稱,學3-5.畢業境外生數-以「系(所)」統計,,,,7,object,,,0.0,106 ;107 ;108 ;109 ;110
,學制班別(日間),學3-5.畢業境外生數-以「系(所)」統計,,,,8,object,,,0.0,106 ;107 ;108 ;109 ;110
,國家(地區)別(108.12新增),學3-5.畢業境外生數-以「系(所)」統計,,,,9,object,,,0.0,106 ;107 ;108 ;109 ;110
,國家(地區)區域別(108.12新增),學3-5.畢業境外生數-以「系(所)」統計,,,,10,object,,,0.0,106 ;107 ;108 ;109 ;110
,畢業境外生總人數小計,學3-5.畢業境外生數-以「系(所)」統計,,,,11,int64,,,0.0,106 ;107 ;108 ;109 ;110
,畢業境外生總人數男,學3-5.畢業境外生數-以「系(所)」統計,,,,12,int64,,,0.0,106 ;107 ;108 ;109 ;110
,畢業境外生總人數女,學3-5.畢業境外生數-以「系(所)」統計,,,,13,int64,,,0.0,106 ;107 ;108 ;109 ;110
,畢業外國學生小計,學3-5.畢業境外生數-以「系(所)」統計,,,,14,int64,,,0.0,106 ;107 ;108 ;109 ;110
,畢業外國學生男,學3-5.畢業境外生數-以「系(所)」統計,,,,15,int64,,,0.0,106 ;107 ;108 ;109 ;110
,畢業外國學生女,學3-5.畢業境外生數-以「系(所)」統計,,,,16,int64,,,0.0,106 ;107 ;108 ;109 ;110
,畢業僑生小計,學3-5.畢業境外生數-以「系(所)」統計,,,,17,int64,,,0.0,106 ;107 ;108 ;109 ;110
,畢業僑生男,學3-5.畢業境外生數-以「系(所)」統計,,,,18,int64,,,0.0,106 ;107 ;108 ;109 ;110
,畢業僑生女,學3-5.畢業境外生數-以「系(所)」統計,,,,19,int64,,,0.0,106 ;107 ;108 ;109 ;110
,畢業港澳生小計,學3-5.畢業境外生數-以「系(所)」統計,,,,20,int64,,,0.0,106 ;107 ;108 ;109 ;110
,畢業港澳生男,學3-5.畢業境外生數-以「系(所)」統計,,,,21,int64,,,0.0,106 ;107 ;108 ;109 ;110
,畢業港澳生女,學3-5.畢業境外生數-以「系(所)」統計,,,,22,int64,,,0.0,106 ;107 ;108 ;109 ;110
,畢業大陸地區來臺學位生小計,學3-5.畢業境外生數-以「系(所)」統計,,,,23,int64,,,0.0,106 ;107 ;108 ;109 ;110
,畢業大陸地區來臺學位生男,學3-5.畢業境外生數-以「系(所)」統計,,,,24,int64,,,0.0,106 ;107 ;108 ;109 ;110
,畢業大陸地區來臺學位生女,學3-5.畢業境外生數-以「系(所)」統計,,,,25,int64,,,0.0,106 ;107 ;108 ;109 ;110
,學年度,學3-6.畢業境外生數-以「校(含學制班別)」統計,,,,1,int64,,,0.0,106 ;107 ;108 ;109 ;110
,設立別,學3-6.畢業境外生數-以「校(含學制班別)」統計,,,,2,object,,,0.0,106 ;107 ;108 ;109 ;110
,學校類別,學3-6.畢業境外生數-以「校(含學制班別)」統計,,,,3,object,,,0.0,106 ;107 ;108 ;109 ;110
,學校統計處代碼,學3-6.畢業境外生數-以「校(含學制班別)」統計,,,,4,object,,,0.0,106 ;107 ;108 ;109 ;110
,學校名稱,學3-6.畢業境外生數-以「校(含學制班別)」統計,,,,5,object,,,0.0,106 ;107 ;108 ;109 ;110
,學制班別(日間),學3-6.畢業境外生數-以「校(含學制班別)」統計,,,,6,object,,,0.0,106 ;107 ;108 ;109 ;110
,國家(地區)別(108.12新增),學3-6.畢業境外生數-以「校(含學制班別)」統計,,,,7,object,,,0.0,106 ;107 ;108 ;109 ;110
,國家(地區)區域別(108.12新增),學3-6.畢業境外生數-以「校(含學制班別)」統計,,,,8,object,,,0.0,106 ;107 ;108 ;109 ;110
,畢業境外生總人數小計,學3-6.畢業境外生數-以「校(含學制班別)」統計,,,,9,int64,,,0.0,106 ;107 ;108 ;109 ;110
,畢業境外生總人數男,學3-6.畢業境外生數-以「校(含學制班別)」統計,,,,10,int64,,,0.0,106 ;107 ;108 ;109 ;110
,畢業境外生總人數女,學3-6.畢業境外生數-以「校(含學制班別)」統計,,,,11,int64,,,0.0,106 ;107 ;108 ;109 ;110
,畢業外國學生小計,學3-6.畢業境外生數-以「校(含學制班別)」統計,,,,12,int64,,,0.0,106 ;107 ;108 ;109 ;110
,畢業外國學生男,學3-6.畢業境外生數-以「校(含學制班別)」統計,,,,13,int64,,,0.0,106 ;107 ;108 ;109 ;110
,畢業外國學生女,學3-6.畢業境外生數-以「校(含學制班別)」統計,,,,14,int64,,,0.0,106 ;107 ;108 ;109 ;110
,畢業僑生小計,學3-6.畢業境外生數-以「校(含學制班別)」統計,,,,15,int64,,,0.0,106 ;107 ;108 ;109 ;110
,畢業僑生男,學3-6.畢業境外生數-以「校(含學制班別)」統計,,,,16,int64,,,0.0,106 ;107 ;108 ;109 ;110
,畢業僑生女,學3-6.畢業境外生數-以「校(含學制班別)」統計,,,,17,int64,,,0.0,106 ;107 ;108 ;109 ;110
,畢業港澳生小計,學3-6.畢業境外生數-以「校(含學制班別)」統計,,,,18,int64,,,0.0,106 ;107 ;108 ;109 ;110
,畢業港澳生男,學3-6.畢業境外生數-以「校(含學制班別)」統計,,,,19,int64,,,0.0,106 ;107 ;108 ;109 ;110
,畢業港澳生女,學3-6.畢業境外生數-以「校(含學制班別)」統計,,,,20,int64,,,0.0,106 ;107 ;108 ;109 ;110
,畢業大陸地區來臺學位生小計,學3-6.畢業境外生數-以「校(含學制班別)」統計,,,,21,int64,,,0.0,106 ;107 ;108 ;109 ;110
,畢業大陸地區來臺學位生男,學3-6.畢業境外生數-以「校(含學制班別)」統計,,,,22,int64,,,0.0,106 ;107 ;108 ;109 ;110
,畢業大陸地區來臺學位生女,學3-6.畢業境外生數-以「校(含學制班別)」統計,,,,23,int64,,,0.0,106 ;107 ;108 ;109 ;110
,學年度,學3-7.境外學位生數(依身分類別呈現)- 以「校(含學制班別)」統計,,,,1,int64,,,0.0,108 ;109 ;110 ;111
,設立別,學3-7.境外學位生數(依身分類別呈現)- 以「校(含學制班別)」統計,,,,2,object,,,0.0,108 ;109 ;110 ;111
,學校類別,學3-7.境外學位生數(依身分類別呈現)- 以「校(含學制班別)」統計,,,,3,object,,,0.0,108 ;109 ;110 ;111
,學校統計處代碼,學3-7.境外學位生數(依身分類別呈現)- 以「校(含學制班別)」統計,,,,4,object,,,0.0,108 ;109 ;110 ;111
,學校名稱,學3-7.境外學位生數(依身分類別呈現)- 以「校(含學制班別)」統計,,,,5,object,,,0.0,108 ;109 ;110 ;111
,學制班別(日間),學3-7.境外學位生數(依身分類別呈現)- 以「校(含學制班別)」統計,,,,6,object,,,0.0,108 ;109 ;110 ;111
,國家(地區)別,學3-7.境外學位生數(依身分類別呈現)- 以「校(含學制班別)」統計,,,,7,object,,,0.0,108 ;109 ;110 ;111
,國家(地區)區域別,學3-7.境外學位生數(依身分類別呈現)- 以「校(含學制班別)」統計,,,,8,object,,,0.0,108 ;109 ;110 ;111
,境外學位生總人數(A)(A=B+C+D+E)小計,學3-7.境外學位生數(依身分類別呈現)- 以「校(含學制班別)」統計,,,,9,int64,,,0.0,108 ;109 ;110 ;111
,境外學位生總人數(A)(A=B+C+D+E)男,學3-7.境外學位生數(依身分類別呈現)- 以「校(含學制班別)」統計,,,,10,int64,,,0.0,108 ;109 ;110 ;111
,境外學位生總人數(A)(A=B+C+D+E)女,學3-7.境外學位生數(依身分類別呈現)- 以「校(含學制班別)」統計,,,,11,int64,,,0.0,108 ;109 ;110 ;111
,外國學生(B)小計,學3-7.境外學位生數(依身分類別呈現)- 以「校(含學制班別)」統計,,,,12,int64,,,0.0,108 ;109 ;110 ;111
,外國學生(B)男,學3-7.境外學位生數(依身分類別呈現)- 以「校(含學制班別)」統計,,,,13,int64,,,0.0,108 ;109 ;110 ;111
,外國學生(B)女,學3-7.境外學位生數(依身分類別呈現)- 以「校(含學制班別)」統計,,,,14,int64,,,0.0,108 ;109 ;110 ;111
,僑生(C)小計,學3-7.境外學位生數(依身分類別呈現)- 以「校(含學制班別)」統計,,,,15,int64,,,0.0,108 ;109 ;110 ;111
,僑生(C)男,學3-7.境外學位生數(依身分類別呈現)- 以「校(含學制班別)」統計,,,,16,int64,,,0.0,108 ;109 ;110 ;111
,僑生(C)女,學3-7.境外學位生數(依身分類別呈現)- 以「校(含學制班別)」統計,,,,17,int64,,,0.0,108 ;109 ;110 ;111
,港澳生(D)小計,學3-7.境外學位生數(依身分類別呈現)- 以「校(含學制班別)」統計,,,,18,int64,,,0.0,108 ;109 ;110 ;111
,港澳生(D)男,學3-7.境外學位生數(依身分類別呈現)- 以「校(含學制班別)」統計,,,,19,int64,,,0.0,108 ;109 ;110 ;111
,港澳生(D)女,學3-7.境外學位生數(依身分類別呈現)- 以「校(含學制班別)」統計,,,,20,int64,,,0.0,108 ;109 ;110 ;111
,大陸地區來臺學位生(E)小計,學3-7.境外學位生數(依身分類別呈現)- 以「校(含學制班別)」統計,,,,21,int64,,,0.0,108 ;109 ;110 ;111
,大陸地區來臺學位生(E)男,學3-7.境外學位生數(依身分類別呈現)- 以「校(含學制班別)」統計,,,,22,int64,,,0.0,108 ;109 ;110 ;111
,大陸地區來臺學位生(E)女,學3-7.境外學位生數(依身分類別呈現)- 以「校(含學制班別)」統計,,,,23,int64,,,0.0,108 ;109 ;110 ;111
,學年度,學4.日間學士班以下申請延長修業年限之延修生數-以「系(所)」統計,,,,1,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,設立別,學4.日間學士班以下申請延長修業年限之延修生數-以「系(所)」統計,,,,2,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校類別,學4.日間學士班以下申請延長修業年限之延修生數-以「系(所)」統計,,,,3,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校統計處代碼,學4.日間學士班以下申請延長修業年限之延修生數-以「系(所)」統計,,,,4,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學校名稱,學4.日間學士班以下申請延長修業年限之延修生數-以「系(所)」統計,,,,5,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,系所代碼,學4.日間學士班以下申請延長修業年限之延修生數-以「系(所)」統計,,,,6,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,系所名稱,學4.日間學士班以下申請延長修業年限之延修生數-以「系(所)」統計,,,,7,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學制班別(日間),學4.日間學士班以下申請延長修業年限之延修生數-以「系(所)」統計,,,,8,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,性別,學4.日間學士班以下申請延長修業年限之延修生數-以「系(所)」統計,,,,9,object,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,申請延長修業年限因素之學生人數-小計,學4.日間學士班以下申請延長修業年限之延修生數-以「系(所)」統計,,,,10,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,申請延長修業年限因素之學生人數-因畢業學分未修滿因素,學4.日間學士班以下申請延長修業年限之延修生數-以「系(所)」統計,,,,11,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,申請延長修業年限因素之學生人數-因未通過畢業門檻(條件)因素,學4.日間學士班以下申請延長修業年限之延修生數-以「系(所)」統計,,,,12,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,申請延長修業年限因素之學生人數-因修讀雙主修因素,學4.日間學士班以下申請延長修業年限之延修生數-以「系(所)」統計,,,,13,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,申請延長修業年限因素之學生人數-因修讀輔系因素,學4.日間學士班以下申請延長修業年限之延修生數-以「系(所)」統計,,,,14,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,申請延長修業年限因素之學生人數-因修讀跨校學位因素,學4.日間學士班以下申請延長修業年限之延修生數-以「系(所)」統計,,,,15,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,申請延長修業年限因素之學生人數-因出國學習因素,學4.日間學士班以下申請延長修業年限之延修生數-以「系(所)」統計,,,,16,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,申請延長修業年限因素之學生人數-因修讀教育學程(學分學程)因素,學4.日間學士班以下申請延長修業年限之延修生數-以「系(所)」統計,,,,17,float64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,申請延長修業年限因素之學生人數-其他因素,學4.日間學士班以下申請延長修業年限之延修生數-以「系(所)」統計,,,,18,int64,,,0.0,106 ;107 ;108 ;109 ;110 ;111
,學年度,學5.日間學制本國學生出國進修交流人數-以「系(所)」統計,,,,1,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學期,學5.日間學制本國學生出國進修交流人數-以「系(所)」統計,,,,2,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,設立別,學5.日間學制本國學生出國進修交流人數-以「系(所)」統計,,,,3,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校類別,學5.日間學制本國學生出國進修交流人數-以「系(所)」統計,,,,4,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校統計處代碼,學5.日間學制本國學生出國進修交流人數-以「系(所)」統計,,,,5,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校名稱,學5.日間學制本國學生出國進修交流人數-以「系(所)」統計,,,,6,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,系所代碼,學5.日間學制本國學生出國進修交流人數-以「系(所)」統計,,,,7,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,系所名稱,學5.日間學制本國學生出國進修交流人數-以「系(所)」統計,,,,8,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學制班別(日間),學5.日間學制本國學生出國進修交流人數-以「系(所)」統計,,,,9,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,進修交流國家(地區)別,學5.日間學制本國學生出國進修交流人數-以「系(所)」統計,,,,10,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,進修交流國家(地區)區域別,學5.日間學制本國學生出國進修交流人數-以「系(所)」統計,,,,11,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,本國學生出國進修交流至少1學期(修讀學分)以上人數小計,學5.日間學制本國學生出國進修交流人數-以「系(所)」統計,,,,12,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
